,0
way/1246030551-220,way/308181656-380
way/167695568-220,way/167695568-380
way/606842829-220,way/606842829-380
way/693745438-220,way/693745438-380
way/87177559-220,way/87177559-380
way/87354306-220,way/87354306-380
way/919706969-220,way/577158336-380
way/942640207-220,way/942640207-380
NL1-220,way/942640207-380
NL10-220,way/577158336-380
NL11-380,way/577158336-380
NL12-380,way/577158336-380
NL2-220,way/942640207-380
NL3-220,way/308181656-380
NL4-220,way/308181656-380
NL5-220,way/308181656-380
NL6-220,NL6-220
NL7-220,NL7-220
NL8-380,way/920127890-380
NL9-220,way/577158336-380
way/1099434374-220,way/1099434374-220
way/1218950123-380,way/1218950123-380
way/1246030551-380,way/308181656-380
way/1266807630-220,way/168037483-220
way/1268254684-220,way/168037483-220
way/1275266044-380,way/920127890-380
way/146809673-380,way/920127890-380
way/146901292-380,way/146901292-380
way/157902099-380,way/157902099-380
way/158601617,way/942640207-380
way/162176187-380,way/162176187-380
way/162179284-380,way/162179284-380
way/165242802-380,way/165242802-380
way/167695568-380,way/167695568-380
way/168037483-220,way/168037483-220
way/178699856-380,way/146901292-380
way/22984334-380,way/22984334-380
way/23096966-380,way/23096966-380
way/23135563-380,way/23135563-380
way/308181656-380,way/308181656-380
way/311472381-380,way/577158336-380
way/477949333-380,way/477949333-380
way/480742730-380,way/480742730-380
way/577158336-380,way/577158336-380
way/606842829-380,way/606842829-380
way/655858864,way/942640207-380
way/693745438-380,way/693745438-380
way/700846836-380,way/942640207-380
way/723528920-380,way/723528920-380
way/72888152-380,way/72888152-380
way/83423799-380,way/83423799-380
way/87177559-380,way/87177559-380
way/87207800-220,way/87207800-220
way/87354306-380,way/87354306-380
way/87358157-220,way/87358157-220
way/87448656-220,way/87448656-220
way/87792499-380,way/87792499-380
way/87794279-380,way/87794279-380
way/919706969-380,way/577158336-380
way/920127890,way/920127890-380
way/920127890-380,way/920127890-380
way/934114405-380,way/934114405-380
way/942640207-380,way/942640207-380
way/96382845-380,way/96382845-380
