,NL
2023-07-01 00:00:00,9543.58398168544
2023-07-01 01:00:00,9332.097503605924
2023-07-01 02:00:00,9193.501996126628
2023-07-01 03:00:00,9124.717559081348
2023-07-01 04:00:00,9047.720054926183
2023-07-01 05:00:00,9550.77041540659
2023-07-01 06:00:00,10478.846998823508
2023-07-01 07:00:00,11520.879888390064
2023-07-01 08:00:00,12061.915684253683
2023-07-01 09:00:00,12278.53532927688
2023-07-01 10:00:00,12220.017226118956
2023-07-01 11:00:00,12010.58401481691
2023-07-01 12:00:00,11810.39050401348
2023-07-01 13:00:00,11604.037192877642
2023-07-01 14:00:00,11571.184924438105
2023-07-01 15:00:00,11574.264824604312
2023-07-01 16:00:00,11437.722583902489
2023-07-01 17:00:00,11249.848673763883
2023-07-01 18:00:00,11011.669727577242
2023-07-01 19:00:00,10845.355118602089
2023-07-01 20:00:00,11022.962694853331
2023-07-01 21:00:00,10489.113332710862
2023-07-01 22:00:00,9772.523227373464
2023-07-01 23:00:00,9136.01052635744
2023-07-02 00:00:00,9796.614582937636
2023-07-02 01:00:00,9662.267687136644
2023-07-02 02:00:00,9554.206053557584
2023-07-02 03:00:00,9403.309177839075
2023-07-02 04:00:00,9389.67978261289
2023-07-02 05:00:00,9664.214743597528
2023-07-02 06:00:00,10221.07289141034
2023-07-02 07:00:00,10803.242773214644
2023-07-02 08:00:00,11263.7216262137
2023-07-02 09:00:00,11418.512614853971
2023-07-02 10:00:00,11402.9361631669
2023-07-02 11:00:00,11232.568722839556
2023-07-02 12:00:00,10972.636685311549
2023-07-02 13:00:00,10762.35458753608
2023-07-02 14:00:00,10775.983982762267
2023-07-02 15:00:00,11274.43043674856
2023-07-02 16:00:00,11578.171244646455
2023-07-02 17:00:00,11642.424107855628
2023-07-02 18:00:00,11657.027031312258
2023-07-02 19:00:00,11479.844893371815
2023-07-02 20:00:00,11646.318220777395
2023-07-02 21:00:00,11298.768642509607
2023-07-02 22:00:00,10630.928276426412
2023-07-02 23:00:00,10179.211177501336
2023-07-03 00:00:00,10186.818211128915
2023-07-03 01:00:00,10071.42562699594
2023-07-03 02:00:00,10146.724177658982
2023-07-03 03:00:00,10350.12805477474
2023-07-03 04:00:00,11168.633079514577
2023-07-03 05:00:00,12480.979248213338
2023-07-03 06:00:00,13490.175407749197
2023-07-03 07:00:00,13790.391707146007
2023-07-03 08:00:00,13757.142996463625
2023-07-03 09:00:00,13719.982672759785
2023-07-03 10:00:00,13538.092667262044
2023-07-03 11:00:00,13592.85524956244
2023-07-03 12:00:00,13565.47395841224
2023-07-03 13:00:00,13544.937990049591
2023-07-03 14:00:00,13629.037670010914
2023-07-03 15:00:00,13864.712354553689
2023-07-03 16:00:00,13517.556698899396
2023-07-03 17:00:00,13313.174918528275
2023-07-03 18:00:00,13063.809588410404
2023-07-03 19:00:00,12729.366675075846
2023-07-03 20:00:00,12650.156511391346
2023-07-03 21:00:00,12184.674561837985
2023-07-03 22:00:00,11459.070346357745
2023-07-03 23:00:00,10915.356136375249
2023-07-04 00:00:00,10381.242503590229
2023-07-04 01:00:00,10278.690805847673
2023-07-04 02:00:00,10261.755663101196
2023-07-04 03:00:00,10451.805598367211
2023-07-04 04:00:00,11267.514973989177
2023-07-04 05:00:00,12643.02490150856
2023-07-04 06:00:00,13681.7136566258
2023-07-04 07:00:00,14099.44717770556
2023-07-04 08:00:00,14160.601859845612
2023-07-04 09:00:00,14149.311764681292
2023-07-04 10:00:00,13950.79425804204
2023-07-04 11:00:00,13877.408639473972
2023-07-04 12:00:00,13766.389370358182
2023-07-04 13:00:00,13546.232514653986
2023-07-04 14:00:00,13496.367927678248
2023-07-04 15:00:00,13605.505514266652
2023-07-04 16:00:00,13262.098453018652
2023-07-04 17:00:00,13021.243089513206
2023-07-04 18:00:00,12736.168186614184
2023-07-04 19:00:00,12356.068316082152
2023-07-04 20:00:00,12305.26288784272
2023-07-04 21:00:00,11792.504399129952
2023-07-04 22:00:00,11077.465038723158
2023-07-04 23:00:00,10561.884026219312
2023-07-05 00:00:00,10218.290687044268
2023-07-05 01:00:00,10066.543464393306
2023-07-05 02:00:00,10097.47283461516
2023-07-05 03:00:00,10214.424515766535
2023-07-05 04:00:00,10943.197801618917
2023-07-05 05:00:00,12380.446974115588
2023-07-05 06:00:00,13520.96750104637
2023-07-05 07:00:00,14083.4954219563
2023-07-05 08:00:00,14248.77424407932
2023-07-05 09:00:00,14341.562354744876
2023-07-05 10:00:00,14242.00844434329
2023-07-05 11:00:00,14257.473129454214
2023-07-05 12:00:00,14152.119962136034
2023-07-05 13:00:00,14085.428507595168
2023-07-05 14:00:00,13962.677569527192
2023-07-05 15:00:00,14003.272367943371
2023-07-05 16:00:00,13385.65150632577
2023-07-05 17:00:00,13036.729548510506
2023-07-05 18:00:00,12705.20536144503
2023-07-05 19:00:00,12376.580802837858
2023-07-05 20:00:00,12321.487862130183
2023-07-05 21:00:00,11828.55102421942
2023-07-05 22:00:00,10955.762858271542
2023-07-05 23:00:00,10413.532336569706
2023-07-06 00:00:00,9539.323600428645
2023-07-06 01:00:00,9295.905055671872
2023-07-06 02:00:00,9214.44609384382
2023-07-06 03:00:00,9276.738241124096
2023-07-06 04:00:00,10134.45319213712
2023-07-06 05:00:00,11778.007539609
2023-07-06 06:00:00,13232.76876378528
2023-07-06 07:00:00,14114.442232983023
2023-07-06 08:00:00,14524.612064305456
2023-07-06 09:00:00,14715.321869055835
2023-07-06 10:00:00,14668.363173413782
2023-07-06 11:00:00,14803.489215975613
2023-07-06 12:00:00,14786.23908288261
2023-07-06 13:00:00,14714.363528328446
2023-07-06 14:00:00,14620.44613704434
2023-07-06 15:00:00,14486.2784352099
2023-07-06 16:00:00,13829.815036948536
2023-07-06 17:00:00,13347.769651071943
2023-07-06 18:00:00,12880.099376106182
2023-07-06 19:00:00,12363.55372404359
2023-07-06 20:00:00,12073.17648364477
2023-07-06 21:00:00,11611.256253043342
2023-07-06 22:00:00,10696.040858386988
2023-07-06 23:00:00,10035.744097216068
2023-07-07 00:00:00,10131.707192284895
2023-07-07 01:00:00,9976.903438906202
2023-07-07 02:00:00,9901.486225721712
2023-07-07 03:00:00,9967.972453134356
2023-07-07 04:00:00,10755.883864561802
2023-07-07 05:00:00,12316.821711130277
2023-07-07 06:00:00,13841.043282858936
2023-07-07 07:00:00,14735.134191796124
2023-07-07 08:00:00,15102.2969401943
2023-07-07 09:00:00,15178.70648513122
2023-07-07 10:00:00,15095.350617927308
2023-07-07 11:00:00,15075.503982878758
2023-07-07 12:00:00,14929.631215271917
2023-07-07 13:00:00,14696.433253451449
2023-07-07 14:00:00,14445.373320087288
2023-07-07 15:00:00,14337.20915907269
2023-07-07 16:00:00,13740.817775863754
2023-07-07 17:00:00,13244.651899649998
2023-07-07 18:00:00,12782.22530301878
2023-07-07 19:00:00,12239.419834440929
2023-07-07 20:00:00,12206.672886610822
2023-07-07 21:00:00,11819.663503164093
2023-07-07 22:00:00,10882.90232887252
2023-07-07 23:00:00,10165.44647186743
